file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\OOD\Java\java-ecommerce-cli-main\src\Order.java,src.Orders,Orders/0,true,93,4,6,1,5,7,11,31,0,8,0,11,0,0,2,0,1,0,5,6,11,0,5,0,0,0,22,0,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\Order.java,src.Orders,getAllOrders/0,false,128,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\Order.java,src.Orders,printCartOf/1[int],false,132,2,3,1,2,3,2,11,1,1,1,2,0,0,1,1,0,0,1,0,1,0,2,0,0,0,7,1,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\Products.java,src.Product,toString/0,false,96,0,0,0,0,1,3,3,1,0,0,3,0,0,0,0,0,0,7,0,0,1,0,0,0,0,2,1,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\Products.java,src.Product,"Product/4[java.lang.Integer,java.lang.String,double,java.lang.String]",true,89,0,2,2,0,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\Products.java,src.Product,csvString/0,false,101,0,1,1,0,1,2,3,1,0,0,2,0,0,0,0,0,0,4,0,0,1,0,0,0,0,2,1,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\PhoneOtp.java,src.PhoneOtp,getOtp/0,false,27,0,1,1,0,2,2,8,1,2,0,2,0,0,0,0,0,2,1,4,3,1,1,0,0,0,5,10,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\PhoneOtp.java,src.PhoneOtp,sendOtp/1[java.lang.String],false,36,0,1,1,0,2,2,11,2,1,1,2,0,0,0,0,1,0,1,0,2,1,1,0,0,0,15,2,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\PhoneOtp.java,src.PhoneOtp,"validateOtp/2[java.lang.String,java.lang.String]",false,20,0,1,1,0,3,1,6,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\PhoneOtp.java,src.PhoneOtp,PhoneOtp/1[java.lang.String],true,12,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\PhoneOtp.java,src.PhoneOtp,generateOtp/0,false,16,1,3,1,2,1,2,3,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\Products.java,src.Products,productIdToProduct/1[int],false,44,1,2,2,0,3,0,8,2,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,6,1,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\Products.java,src.Products,addProductToFile/1[src.Product],false,64,1,2,1,1,2,5,12,0,2,1,5,0,0,0,0,1,0,2,0,2,0,1,0,0,0,10,1,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\Products.java,src.Products,Products/0,true,17,1,3,2,1,4,9,18,0,4,0,9,0,0,1,0,1,0,3,5,4,0,3,0,0,0,22,0,0,true
C:\OOD\Java\java-ecommerce-cli-main\src\Products.java,src.Products,addProduct/1[java.util.Scanner],false,53,3,6,1,5,1,5,9,0,5,1,5,1,1,0,0,0,0,4,6,5,0,0,0,0,0,13,1,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\Products.java,src.Products,getProducts/0,false,40,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\LastLine.java,src.LastLine,tail/1[java.io.File],false,9,0,1,1,0,10,8,42,3,6,1,8,0,0,1,6,2,0,1,5,7,2,4,0,0,0,23,9,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\User.java,src.User,addUserToFile/1[src.User],false,61,1,2,1,1,3,5,14,1,2,1,5,1,1,0,0,1,0,2,0,3,0,1,0,0,0,14,1,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\User.java,src.User,"User/2[java.lang.String,java.util.Scanner]",true,17,2,5,2,3,5,8,25,0,3,2,8,2,2,1,0,1,0,4,3,10,0,4,0,0,0,20,1,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\User.java,src.User,csvString/0,false,79,0,1,1,0,1,2,3,1,0,0,2,0,0,0,0,0,0,4,0,0,1,0,0,0,0,2,1,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\User.java,src.User,"getOrAddAddress/2[java.lang.String,java.util.Scanner]",false,53,1,2,1,1,2,1,6,2,0,2,1,0,0,0,1,0,0,1,2,0,0,1,0,0,0,7,1,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\Utils.java,src.Utils,showOptions/1[java.util.Vector<java.lang.String>],false,13,1,2,1,1,2,8,11,0,4,1,8,0,0,1,0,0,0,7,3,4,3,1,0,0,0,7,9,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\Utils.java,src.Utils,"getOption/2[java.util.Vector<java.lang.String>,java.util.Scanner]",false,28,2,3,1,2,2,5,8,1,2,2,5,1,1,1,0,0,0,2,3,2,2,1,0,0,0,9,9,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\Utils.java,src.Utils,"getDoubleInRange/4[java.lang.String,java.lang.Double,java.lang.Double,java.util.Scanner]",false,100,1,3,1,2,5,8,23,1,1,4,8,0,0,1,0,0,0,3,1,2,0,3,0,0,0,15,9,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\Utils.java,src.Utils,"getStringInRange/4[java.lang.String,int,int,java.util.Scanner]",false,39,1,5,3,2,4,6,15,1,1,4,6,0,0,1,0,0,0,2,0,2,0,2,0,0,0,12,9,0,false
