file,class,method,variable,usage
C:\OOD\Java\java-ecommerce-cli-main\src\Order.java,src.Orders,Orders/0,fileScanner,4
C:\OOD\Java\java-ecommerce-cli-main\src\Order.java,src.Orders,Orders/0,file,1
C:\OOD\Java\java-ecommerce-cli-main\src\Order.java,src.Orders,Orders/0,productId,2
C:\OOD\Java\java-ecommerce-cli-main\src\Order.java,src.Orders,Orders/0,e,1
C:\OOD\Java\java-ecommerce-cli-main\src\Order.java,src.Orders,Orders/0,line,6
C:\OOD\Java\java-ecommerce-cli-main\src\Order.java,src.Orders,Orders/0,selectedProduct,1
C:\OOD\Java\java-ecommerce-cli-main\src\Order.java,src.Orders,Orders/0,allProductIds,1
C:\OOD\Java\java-ecommerce-cli-main\src\Order.java,src.Orders,Orders/0,user,1
C:\OOD\Java\java-ecommerce-cli-main\src\Order.java,src.Orders,Orders/0,products,1
C:\OOD\Java\java-ecommerce-cli-main\src\Order.java,src.Orders,Orders/0,order,5
C:\OOD\Java\java-ecommerce-cli-main\src\Order.java,src.Orders,printCartOf/1[int],orderId,1
C:\OOD\Java\java-ecommerce-cli-main\src\Order.java,src.Orders,printCartOf/1[int],useOrder,2
C:\OOD\Java\java-ecommerce-cli-main\src\Order.java,src.Orders,printCartOf/1[int],order,2
C:\OOD\Java\java-ecommerce-cli-main\src\Products.java,src.Product,"Product/4[java.lang.Integer,java.lang.String,double,java.lang.String]",price,2
C:\OOD\Java\java-ecommerce-cli-main\src\Products.java,src.Product,"Product/4[java.lang.Integer,java.lang.String,double,java.lang.String]",name,2
C:\OOD\Java\java-ecommerce-cli-main\src\Products.java,src.Product,"Product/4[java.lang.Integer,java.lang.String,double,java.lang.String]",description,2
C:\OOD\Java\java-ecommerce-cli-main\src\Products.java,src.Product,"Product/4[java.lang.Integer,java.lang.String,double,java.lang.String]",id,2
C:\OOD\Java\java-ecommerce-cli-main\src\PhoneOtp.java,src.PhoneOtp,getOtp/0,rand,2
C:\OOD\Java\java-ecommerce-cli-main\src\PhoneOtp.java,src.PhoneOtp,getOtp/0,number,3
C:\OOD\Java\java-ecommerce-cli-main\src\PhoneOtp.java,src.PhoneOtp,sendOtp/1[java.lang.String],e,1
C:\OOD\Java\java-ecommerce-cli-main\src\PhoneOtp.java,src.PhoneOtp,sendOtp/1[java.lang.String],otp,3
C:\OOD\Java\java-ecommerce-cli-main\src\PhoneOtp.java,src.PhoneOtp,sendOtp/1[java.lang.String],writer,1
C:\OOD\Java\java-ecommerce-cli-main\src\PhoneOtp.java,src.PhoneOtp,"validateOtp/2[java.lang.String,java.lang.String]",phone,2
C:\OOD\Java\java-ecommerce-cli-main\src\PhoneOtp.java,src.PhoneOtp,"validateOtp/2[java.lang.String,java.lang.String]",otp,2
C:\OOD\Java\java-ecommerce-cli-main\src\PhoneOtp.java,src.PhoneOtp,PhoneOtp/1[java.lang.String],phone,2
C:\OOD\Java\java-ecommerce-cli-main\src\Products.java,src.Products,productIdToProduct/1[int],product,2
C:\OOD\Java\java-ecommerce-cli-main\src\Products.java,src.Products,productIdToProduct/1[int],productId,1
