file,class,method,variable,usage
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,"Client/3[java.lang.String,java.lang.String,int]",port,3
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,"Client/3[java.lang.String,java.lang.String,int]",ip,1
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,"Client/3[java.lang.String,java.lang.String,int]",name,1
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,start/0,progress,2
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,progress/1[boolean],progress,2
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,initComponents/0,savebutton,7
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,initComponents/0,jMenu1,4
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,initComponents/0,jToolBar1,4
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,initComponents/0,filemenu,4
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,initComponents/0,exitmenuitem,5
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,initComponents/0,sendbutton,5
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,initComponents/0,themeMenu,7
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,initComponents/0,menubar,5
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,initComponents/0,jMenuItem1,5
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,initComponents/0,jMenuItem2,4
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,initComponents/0,jMenuItem3,4
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,initComponents/0,inputpanel,7
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,initComponents/0,scrollpane,3
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,initComponents/0,sendpane,5
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,initComponents/0,printPane,6
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,initComponents/0,progress,3
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,initComponents/0,msglabel,5
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,initComponents/0,jMenuItem4,4
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,initComponents/0,messagebox,5
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,initComponents/0,jMenuItem5,4
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,save/0,printPane,1
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,connectToServer/0,port,1
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,connectToServer/0,ip,1
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,connectToServer/0,progress,1
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,connectToServer/0,connection,2
