file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\ChatClient.java,chatclient.ChatClient,main/1[java.lang.String[]],false,17,1,1,0,1,15,7,30,0,4,1,7,0,0,0,6,2,18,7,3,8,0,2,0,0,0,25,9,0,true
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client$Anonymous12,actionPerformed/1[java.awt.event.ActionEvent],false,209,1,18,0,18,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client$Anonymous13,actionPerformed/1[java.awt.event.ActionEvent],false,315,0,18,0,18,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,false
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client$Anonymous14,actionPerformed/1[java.awt.event.ActionEvent],false,323,1,18,0,18,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,"Client/3[java.lang.String,java.lang.String,int]",true,44,1,3,1,2,1,4,9,0,0,3,4,2,6,0,0,0,0,0,2,3,0,0,0,0,0,10,1,0,true
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,start/0,false,348,1,7,1,6,3,7,18,0,0,0,7,6,5,0,0,1,0,1,0,0,0,1,0,0,0,22,2,0,false
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,printPaneMouseClicked/1[java.awt.event.MouseEvent],false,295,1,2,1,1,2,6,6,0,1,1,6,1,1,0,1,0,0,0,1,1,0,1,0,0,0,11,2,0,false
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,jMenuItem4ActionPerformed/1[java.awt.event.ActionEvent],false,272,1,2,1,1,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,false
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,progress/1[boolean],false,305,0,3,3,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,initComponents/0,false,56,0,2,1,1,1,34,148,0,0,0,34,0,0,0,0,0,0,23,10,20,0,0,12,0,0,61,2,0,false
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,jMenuItem5ActionPerformed/1[java.awt.event.ActionEvent],false,266,1,2,1,1,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,false
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,save/0,false,330,1,3,2,1,2,8,14,0,3,0,8,1,1,0,0,1,0,3,0,3,0,1,0,0,0,16,2,0,false
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,connectToServer/0,false,372,1,2,1,1,1,5,6,0,0,0,5,1,1,0,0,0,0,2,0,1,1,0,0,0,0,13,2,0,false
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,jMenuItem3ActionPerformed/1[java.awt.event.ActionEvent],false,260,1,2,1,1,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,false
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,exitmenuitemActionPerformed/1[java.awt.event.ActionEvent],false,222,0,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,0,false
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,setupStreams/0,false,380,1,2,1,1,1,4,6,0,0,0,4,1,1,0,0,0,0,1,0,2,0,0,0,0,0,17,2,0,false
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,getPrintPanePopupMenu/0,false,309,0,2,1,1,1,1,16,1,1,0,1,0,0,0,0,0,0,2,0,1,0,0,2,0,0,14,2,0,false
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,printPaneHyperlinkUpdate/1[javax.swing.event.HyperlinkEvent],false,278,1,2,1,1,2,6,8,0,0,1,6,1,1,0,0,1,0,1,0,0,1,1,0,0,0,17,2,0,false
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,sendbuttonActionPerformed/1[java.awt.event.ActionEvent],false,235,1,3,1,2,1,4,6,0,0,1,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,9,2,0,false
