file,class,method,variable,usage
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\ChatClient.java,chatclient.ChatClient,main/1[java.lang.String[]],args,0
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\ChatClient.java,chatclient.ChatClient,main/1[java.lang.String[]],e,3
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\ChatClient.java,chatclient.ChatClient,main/1[java.lang.String[]],ipadd,4
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\ChatClient.java,chatclient.ChatClient,main/1[java.lang.String[]],name,8
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\ChatClient.java,chatclient.ChatClient,main/1[java.lang.String[]],cl,5
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\ChatClient.java,chatclient.ChatClient,main/1[java.lang.String[]],sport,8
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client$Anonymous12,actionPerformed/1[java.awt.event.ActionEvent],evt,1
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client$Anonymous13,actionPerformed/1[java.awt.event.ActionEvent],e,0
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client$Anonymous14,actionPerformed/1[java.awt.event.ActionEvent],e,0
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,"Client/3[java.lang.String,java.lang.String,int]",port,2
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,"Client/3[java.lang.String,java.lang.String,int]",sname,1
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,"Client/3[java.lang.String,java.lang.String,int]",ipadd,1
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,start/0,e,1
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,start/0,eofe,0
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,printPaneMouseClicked/1[java.awt.event.MouseEvent],evt,4
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,printPaneMouseClicked/1[java.awt.event.MouseEvent],menu,1
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,jMenuItem4ActionPerformed/1[java.awt.event.ActionEvent],evt,0
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,progress/1[boolean],con,1
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,jMenuItem5ActionPerformed/1[java.awt.event.ActionEvent],evt,0
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,save/0,ex,0
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,save/0,data,1
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,save/0,save,2
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,save/0,fd,3
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,jMenuItem3ActionPerformed/1[java.awt.event.ActionEvent],evt,0
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,exitmenuitemActionPerformed/1[java.awt.event.ActionEvent],evt,0
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,getPrintPanePopupMenu/0,pmenu,3
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,printPaneHyperlinkUpdate/1[javax.swing.event.HyperlinkEvent],evt,2
