file,class,method,variable,usage
C:\OOD\Java\restaurant-management-system-main\TableBooking.java,TableBooking,isAvailable/1[int],tableView,1
C:\OOD\Java\restaurant-management-system-main\TableBooking.java,TableBooking,displayTimeSlots/0,timeSlots,1
C:\OOD\Java\restaurant-management-system-main\TableBooking.java,TableBooking,displayTableView/0,tableView,1
C:\OOD\Java\restaurant-management-system-main\TableBooking.java,TableBooking,displayTableView/0,timeSlots,1
C:\OOD\Java\restaurant-management-system-main\TableBooking.java,TableBooking,"bookTable/2[int,Customer]",table_no,2
C:\OOD\Java\restaurant-management-system-main\TableBooking.java,TableBooking,"bookTable/2[int,Customer]",tableView,2
C:\OOD\Java\restaurant-management-system-main\TableBooking.java,TableBooking,"bookTable/2[int,Customer]",timeSlots,1
C:\OOD\Java\restaurant-management-system-main\TableBooking.java,TableBooking,"bookTable/2[int,Customer]",time_slot,2
C:\OOD\Java\restaurant-management-system-main\Customer.java,Customer,displayOrderDetails/0,orders,2
C:\OOD\Java\restaurant-management-system-main\Customer.java,Customer,displayOrderDetails/0,items,2
C:\OOD\Java\restaurant-management-system-main\Customer.java,Customer,updateOrderDetails/1[int],orders,1
C:\OOD\Java\restaurant-management-system-main\Customer.java,Customer,updateOrderDetails/1[int],order_amt,1
C:\OOD\Java\restaurant-management-system-main\Customer.java,Customer,updateOrderDetails/1[int],items,2
C:\OOD\Java\restaurant-management-system-main\Customer.java,Customer,newCustomer/0,date,1
C:\OOD\Java\restaurant-management-system-main\Customer.java,Customer,newCustomer/0,phone,1
C:\OOD\Java\restaurant-management-system-main\Customer.java,Customer,newCustomer/0,name,1
C:\OOD\Java\restaurant-management-system-main\Customer.java,Customer,newCustomer/0,id,1
C:\OOD\Java\restaurant-management-system-main\Customer.java,Customer,newCustomer/0,idCt,2
C:\OOD\Java\restaurant-management-system-main\Customer.java,Customer,newCustomer/0,items,1
C:\OOD\Java\restaurant-management-system-main\Customer.java,Customer,displayCustomerDetails/0,date,1
C:\OOD\Java\restaurant-management-system-main\Customer.java,Customer,displayCustomerDetails/0,table_no,1
C:\OOD\Java\restaurant-management-system-main\Customer.java,Customer,displayCustomerDetails/0,phone,1
C:\OOD\Java\restaurant-management-system-main\Customer.java,Customer,displayCustomerDetails/0,name,1
C:\OOD\Java\restaurant-management-system-main\Customer.java,Customer,displayCustomerDetails/0,order_amt,1
C:\OOD\Java\restaurant-management-system-main\Customer.java,Customer,displayCustomerDetails/0,id,1
C:\OOD\Java\restaurant-management-system-main\Customer.java,Customer,displayCustomerDetails/0,time_slot,1
C:\OOD\Java\restaurant-management-system-main\Menu.java,Menu,"Menu/2[java.lang.String,double]",price,1
C:\OOD\Java\restaurant-management-system-main\Menu.java,Menu,"Menu/2[java.lang.String,double]",foodItem,1
C:\OOD\Java\restaurant-management-system-main\Menu.java,Menu,displayMenu/0,prices,1
C:\OOD\Java\restaurant-management-system-main\Menu.java,Menu,displayMenu/0,items,1
C:\OOD\Java\restaurant-management-system-main\Statistics.java,Statistics,getCustomer/1[int],listOfCustomers,2
C:\OOD\Java\restaurant-management-system-main\Statistics.java,Statistics,getCustomer/1[int],customers,1
C:\OOD\Java\restaurant-management-system-main\Statistics.java,Statistics,listAllCustomers/0,listOfCustomers,3
C:\OOD\Java\restaurant-management-system-main\Statistics.java,Statistics,listAllCustomers/0,customers,1
C:\OOD\Java\restaurant-management-system-main\Statistics.java,Statistics,isValidCustomer/1[int],listOfCustomers,1
C:\OOD\Java\restaurant-management-system-main\Statistics.java,Statistics,isValidCustomer/1[int],customers,1
C:\OOD\Java\restaurant-management-system-main\Statistics.java,Statistics,maxOrder/0,listOfCustomers,3
C:\OOD\Java\restaurant-management-system-main\Statistics.java,Statistics,maxOrder/0,customers,2
C:\OOD\Java\restaurant-management-system-main\Statistics.java,Statistics,addCustomer/1[Customer],listOfCustomers,1
C:\OOD\Java\restaurant-management-system-main\Statistics.java,Statistics,addCustomer/1[Customer],customers,2
C:\OOD\Java\restaurant-management-system-main\Statistics.java,Statistics,totalIncome/0,listOfCustomers,1
C:\OOD\Java\restaurant-management-system-main\Statistics.java,Statistics,totalIncome/0,customers,2
C:\OOD\Java\restaurant-management-system-main\Statistics.java,Statistics,checkForCustomers/0,customers,1
