file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\OOD\Java\restaurant-management-system-main\TableBooking.java,TableBooking,isAvailable/1[int],false,32,0,1,1,0,3,0,6,2,1,1,0,0,0,1,1,0,0,0,4,1,1,2,0,0,0,6,8,0,false
C:\OOD\Java\restaurant-management-system-main\TableBooking.java,TableBooking,displayTimeSlots/0,false,11,0,1,1,0,2,1,7,0,1,0,1,0,0,1,0,0,0,3,3,1,1,1,0,0,0,11,8,0,false
C:\OOD\Java\restaurant-management-system-main\TableBooking.java,TableBooking,displayTableView/0,false,19,0,1,1,0,4,2,12,0,2,0,2,0,0,2,1,0,0,4,5,2,2,3,0,0,0,5,8,0,false
C:\OOD\Java\restaurant-management-system-main\TableBooking.java,TableBooking,"bookTable/2[int,Customer]",false,40,1,1,1,0,3,0,12,1,1,2,0,0,0,1,1,0,0,0,8,6,4,2,0,0,0,8,0,0,false
C:\OOD\Java\restaurant-management-system-main\Customer.java,Customer,displayOrderDetails/0,false,41,0,1,1,0,3,1,10,1,1,0,1,0,0,1,1,0,0,4,3,1,1,1,0,0,0,7,0,0,false
C:\OOD\Java\restaurant-management-system-main\Customer.java,Customer,updateOrderDetails/1[int],false,32,1,2,1,1,1,0,8,0,3,1,0,0,0,0,0,0,0,0,3,6,2,0,0,0,0,12,0,0,false
C:\OOD\Java\restaurant-management-system-main\Customer.java,Customer,newCustomer/0,false,18,1,2,1,1,1,4,12,0,1,0,4,0,0,0,0,0,0,3,2,7,0,0,0,0,0,9,0,0,false
C:\OOD\Java\restaurant-management-system-main\Customer.java,Customer,displayCustomerDetails/0,false,52,1,2,1,1,1,2,12,0,0,0,2,1,1,0,0,0,0,9,0,0,7,0,0,0,0,25,0,0,false
C:\OOD\Java\restaurant-management-system-main\Menu.java,Menu,"Menu/2[java.lang.String,double]",true,5,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,false
C:\OOD\Java\restaurant-management-system-main\Menu.java,Menu,displayMenu/0,false,17,0,1,1,0,2,1,8,0,2,0,1,0,0,1,0,0,1,4,2,2,2,1,0,0,0,8,8,0,false
C:\OOD\Java\restaurant-management-system-main\Main.java,Main,main/1[java.lang.String[]],false,4,4,15,0,15,20,16,114,0,11,1,16,0,0,2,5,1,0,34,18,14,11,6,0,0,0,56,9,0,false
C:\OOD\Java\restaurant-management-system-main\Statistics.java,Statistics,getCustomer/1[int],false,18,1,1,1,0,3,0,6,2,1,1,0,0,0,1,1,0,0,0,1,1,0,2,0,0,0,6,8,0,false
C:\OOD\Java\restaurant-management-system-main\Statistics.java,Statistics,listAllCustomers/0,false,33,1,2,1,1,2,2,6,0,1,0,2,1,1,1,0,0,0,3,2,1,1,1,0,0,0,7,8,0,false
C:\OOD\Java\restaurant-management-system-main\Statistics.java,Statistics,isValidCustomer/1[int],false,10,0,1,1,0,3,0,6,2,1,1,0,0,0,1,1,0,0,0,1,1,0,2,0,0,0,8,8,0,false
C:\OOD\Java\restaurant-management-system-main\Statistics.java,Statistics,maxOrder/0,false,41,1,1,1,0,4,0,12,2,3,0,0,0,0,1,1,0,0,0,3,5,0,2,0,0,0,7,8,0,false
C:\OOD\Java\restaurant-management-system-main\Statistics.java,Statistics,addCustomer/1[Customer],false,5,1,1,1,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,4,8,0,false
C:\OOD\Java\restaurant-management-system-main\Statistics.java,Statistics,totalIncome/0,false,55,0,1,1,0,3,0,8,2,2,0,0,0,0,1,1,0,0,0,4,3,0,1,0,0,0,4,8,0,false
C:\OOD\Java\restaurant-management-system-main\Statistics.java,Statistics,checkForCustomers/0,false,26,0,1,1,0,2,1,6,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,4,8,0,false
