file,class,method,variable,usage
C:\OOD\Java\restaurant-management-system-main\TableBooking.java,TableBooking,isAvailable/1[int],i,3
C:\OOD\Java\restaurant-management-system-main\TableBooking.java,TableBooking,isAvailable/1[int],option,1
C:\OOD\Java\restaurant-management-system-main\TableBooking.java,TableBooking,displayTimeSlots/0,i,4
C:\OOD\Java\restaurant-management-system-main\TableBooking.java,TableBooking,displayTableView/0,i,4
C:\OOD\Java\restaurant-management-system-main\TableBooking.java,TableBooking,displayTableView/0,j,4
C:\OOD\Java\restaurant-management-system-main\TableBooking.java,TableBooking,"bookTable/2[int,Customer]",c,2
C:\OOD\Java\restaurant-management-system-main\TableBooking.java,TableBooking,"bookTable/2[int,Customer]",i,5
C:\OOD\Java\restaurant-management-system-main\TableBooking.java,TableBooking,"bookTable/2[int,Customer]",option,3
C:\OOD\Java\restaurant-management-system-main\Customer.java,Customer,displayOrderDetails/0,i,5
C:\OOD\Java\restaurant-management-system-main\Customer.java,Customer,updateOrderDetails/1[int],foodPrice,2
C:\OOD\Java\restaurant-management-system-main\Customer.java,Customer,updateOrderDetails/1[int],foodItem,1
C:\OOD\Java\restaurant-management-system-main\Customer.java,Customer,updateOrderDetails/1[int],m,1
C:\OOD\Java\restaurant-management-system-main\Customer.java,Customer,updateOrderDetails/1[int],option,2
C:\OOD\Java\restaurant-management-system-main\Customer.java,Customer,newCustomer/0,s,2
C:\OOD\Java\restaurant-management-system-main\Menu.java,Menu,"Menu/2[java.lang.String,double]",p,1
C:\OOD\Java\restaurant-management-system-main\Menu.java,Menu,"Menu/2[java.lang.String,double]",f,1
C:\OOD\Java\restaurant-management-system-main\Menu.java,Menu,displayMenu/0,len,1
C:\OOD\Java\restaurant-management-system-main\Menu.java,Menu,displayMenu/0,i,5
C:\OOD\Java\restaurant-management-system-main\Main.java,Main,main/1[java.lang.String[]],args,0
C:\OOD\Java\restaurant-management-system-main\Main.java,Main,main/1[java.lang.String[]],s,8
C:\OOD\Java\restaurant-management-system-main\Main.java,Main,main/1[java.lang.String[]],c,9
C:\OOD\Java\restaurant-management-system-main\Main.java,Main,main/1[java.lang.String[]],t,1
C:\OOD\Java\restaurant-management-system-main\Main.java,Main,main/1[java.lang.String[]],x,4
C:\OOD\Java\restaurant-management-system-main\Main.java,Main,main/1[java.lang.String[]],y,9
C:\OOD\Java\restaurant-management-system-main\Main.java,Main,main/1[java.lang.String[]],choose,3
C:\OOD\Java\restaurant-management-system-main\Main.java,Main,main/1[java.lang.String[]],id,6
C:\OOD\Java\restaurant-management-system-main\Main.java,Main,main/1[java.lang.String[]],food,4
C:\OOD\Java\restaurant-management-system-main\Main.java,Main,main/1[java.lang.String[]],c1,2
C:\OOD\Java\restaurant-management-system-main\Statistics.java,Statistics,getCustomer/1[int],i,4
C:\OOD\Java\restaurant-management-system-main\Statistics.java,Statistics,getCustomer/1[int],id,2
C:\OOD\Java\restaurant-management-system-main\Statistics.java,Statistics,listAllCustomers/0,i,6
C:\OOD\Java\restaurant-management-system-main\Statistics.java,Statistics,isValidCustomer/1[int],i,3
C:\OOD\Java\restaurant-management-system-main\Statistics.java,Statistics,isValidCustomer/1[int],id,2
C:\OOD\Java\restaurant-management-system-main\Statistics.java,Statistics,maxOrder/0,c,2
C:\OOD\Java\restaurant-management-system-main\Statistics.java,Statistics,maxOrder/0,max,2
C:\OOD\Java\restaurant-management-system-main\Statistics.java,Statistics,maxOrder/0,i,5
C:\OOD\Java\restaurant-management-system-main\Statistics.java,Statistics,addCustomer/1[Customer],c,1
C:\OOD\Java\restaurant-management-system-main\Statistics.java,Statistics,totalIncome/0,total,2
C:\OOD\Java\restaurant-management-system-main\Statistics.java,Statistics,totalIncome/0,i,3
